board_type,board_code,board_name,source,member_count,updated_at,confidence
concept,BK0501,次新股,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK0622,地热能,eastmoney_push2_clist,9,2026-06-29T17:30:53,100
concept,BK0835,独角兽,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK0945,装配建筑,eastmoney_push2_clist,89,2026-06-29T17:30:53,100
concept,BK1679,2025年报扭亏,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK1153,多模态AI,eastmoney_push2_clist,67,2026-06-29T17:30:53,100
concept,BK0800,人工智能,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK1633,昨日高振幅,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK0991,工程机械概念,eastmoney_push2_clist,57,2026-06-29T17:30:53,100
concept,BK0708,体育产业,eastmoney_push2_clist,73,2026-06-29T17:30:53,100
concept,BK0603,页岩气,eastmoney_push2_clist,31,2026-06-29T17:30:53,100
concept,BK1681,2026一季报预减,eastmoney_push2_clist,12,2026-06-29T17:30:53,100
concept,BK1053,低价股,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK1077,统一大市场,eastmoney_push2_clist,42,2026-06-29T17:30:53,100
concept,BK1192,雅下水电概念,eastmoney_push2_clist,55,2026-06-29T17:30:53,100
concept,BK0840,OLED,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK0873,垃圾分类,eastmoney_push2_clist,97,2026-06-29T17:30:53,100
concept,BK0581,智能电网,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK0662,在线教育,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK1173,锂矿概念,eastmoney_push2_clist,37,2026-06-29T17:30:53,100
concept,BK0689,阿里概念,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK1642,微利股,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK1111,AIGC概念,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK0809,AI智能体,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK0712,一带一路,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK1097,TOPCon电池,eastmoney_push2_clist,45,2026-06-29T17:30:53,100
concept,BK0685,举牌,eastmoney_push2_clist,8,2026-06-29T17:30:53,100
concept,BK0742,创业板综,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK0588,光伏概念,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK0597,水利建设,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK0592,铁路基建,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK0680,智能家居,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK0595,风能,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK1155,小米汽车,eastmoney_push2_clist,100,2026-06-29T17:30:53,100
concept,BK0818,可燃冰,eastmoney_push2_clist,9,2026-06-29T17:30:53,100
